,athlete_id,athlete,country_noc,total_medaille
43858,44206,Hugo Johansson,SWE,5
21092,21241,Fernand de Montigny,BEL,5
133566,137167,Quentin Fillon Maillet,FRA,5
48149,48511,Klaus Dibiasi,ITA,5
43947,44295,Hübner von Holst,SWE,5
101078,102622,Sabine Bau,GER,5
30970,31213,Ladislav Vácha,TCH,5
116578,118644,Elana Meyers,USA,5
79627,80843,Jeon I-Gyeong,KOR,5
99551,100986,Evi Sachenbacher,GER,5
77251,77849,Florence Griffith,USA,5
101538,103092,Sue Bird,USA,5
101542,103097,Diana Taurasi,USA,5
15627,15736,Daniel Morelon,FRA,5
108260,110053,Aino-Kaisa Saarinen,FIN,5
9821,9876,Ramona Portwich,GDR,5
65526,66030,Phil Edwards,CAN,5
76145,76736,Emil Zátopek,TCH,5
108128,109911,Lee Ho-Seok,KOR,5
9838,9894,Kay Bluhm,GDR,5
84408,85659,Fritz Feierabend,SUI,5
9845,9901,Andreas Dittmer,GER,5
86732,88005,Lasse Kjus,NOR,5
103827,105463,Justin Gatlin,USA,5
30993,31236,Vladimir Artyomov,URS,5
47055,47414,Henry Taylor,GBR,5
50368,50735,Galina Prozumenshchikova,URS,5
31140,31383,William Merz,USA,5
90621,91927,Frank Luck,GDR,5
44826,45177,Boy Charlton,AUS,5
80818,82035,Gabriella Paruzzi,ITA,5
45717,46071,Fu Mingxia,CHN,5
36194,36485,Eskild Ebbesen,DEN,5
92505,93833,Yana Klochkova,UKR,5
98174,99555,Albina Akhatova,RUS,5
31019,31262,Valentin Muratov,URS,5
11683,11744,Henri Chammartin,SUI,5
98030,99411,Anni Friesinger,GER,5
31011,31254,Viktor Lisitsky,URS,5
84391,85642,Silvio Fauner,ITA,5
31006,31249,Viktor Klimenko,URS,5
92522,93850,Ian Crocker,USA,5
119481,121929,Ma Long,CHN,5
28819,29039,Ecaterina Szabo,ROU,5
116706,118787,Krista Lähteenmäki,FIN,5
81866,83084,Yang Yang (S),CHN,5
29057,29277,Mary Lou Retton,USA,5
87270,88548,Johann Olav Koss,NOR,5
78189,78787,Ralph Metcalfe,USA,5
51144,51512,Jon Olsen,USA,5
12779,12849,Earl Thomson,USA,5
44699,45050,Shane Gould,AUS,5
12466,12534,Charles Pahud de Mortanges,NED,5
51135,51503,John Naber,USA,5
80966,82183,Anfisa Reztsova,RUS,5
42254,42584,Ralf Schumann,GDR,5
51129,51497,Pablo Morales,USA,5
